N,P,K,pH,Rain,Temp,Humid,Crop,Fertilizer,Fertilizer_class
125,65,60,7.0,1000.0,25.0,78.72045425951355,Sugarcane,MOP,3
120,70,80,7.5,1000.0,20.0,63.42097962000139,Sugarcane,MOP,3
120,60,50,7.5,900.0,15.0,62.92918326572088,Wheat,19:19:19 NPK,6
17,30,27,5.894027065,205.5720367,29.03065024,90.79093862,Coconut,SSP,1
140,75,135,6.0,1000.0,35.0,28.656925459261366,Sugarcane,Urea,2
31,26,9,7.566165721,103.2005992,11.69894639,93.25638873,Orange,Urea,2
23,57,19,7.251000789,73.40452716,32.83963757,67.99803573,Blackgram,Chilated Micronutrient,11
145,65,125,7.0,1100.0,25.0,76.83011143120467,Sugarcane,MOP,3
60,55,60,6.0,500.0,15.0,74.31082943445583,Wheat,Urea,2
2,38,18,6.619891498,45.48591922,27.53632932,89.92908171,MungBean,SSP,1
89,25,34,7.184801627,129.8765443,23.07895447,63.65861483,Coffee,SSP,1
133,57,19,7.947011366,84.12536744,23.54234715,75.98203329,Cotton,Urea,2
55,35,20,6.0,600.0,30.0,74.82476382497507,Tur,SSP,1
74,43,23,6.325235159,99.57981207,25.95263264,61.89082199,Maize,Urea,2
75,60,40,6.5,500.0,15.0,55.66337132247274,Wheat,Urea,2
27,64,21,7.543804223,73.67166182,32.84213012,68.68401492,Blackgram,Chilated Micronutrient,11
18,20,26,5.435840509,89.98024312,31.66524687,51.98594645,Mango,Urea,2
95,12,46,6.32281728,54.65423596,26.21667586,81.01009354,Watermelon,Magnesium Sulphate,5
100,60,70,6.0,900.0,30.0,49.59916079192458,Cotton,DAP,0
39,60,15,5.004074624,116.9106908,35.09357419,30.98685456,PigeonPeas,SSP,1
30,60,21,5.457871273,182.2688175,28.87667593,62.4901206,PigeonPeas,SSP,1
10,9,28,6.282955073,150.0500312,29.01256899,94.01014388,Coconut,SSP,1
47,79,78,6.609696734,65.11365631,17.48395377,14.76014523,ChickPea,Magnesium Sulphate,5
88,29,51,6.095689937,48.45978627,24.71885473,88.94568335,Watermelon,Urea,2
90,45,40,6.5,1300.0,25.0,52.95175090520533,Rice,Urea,2
60,50,55,7.5,600.0,20.0,53.26456805459574,Wheat,Urea,2
130,75,125,7.0,900.0,30.0,80.66565058430787,Sugarcane,MOP,3
28,35,22,7.156563094,59.87232071,29.53037621,86.73346018,MungBean,SSP,1
111,5,47,6.274452811,21.17924769,28.03306461,91.47355778,Muskmelon,Magnesium Sulphate,5
50,25,25,6.0,400.0,25.0,64.88096265981955,Tur,Urea,2
80,40,120,6.0,700.0,20.0,67.01475756953678,Grapes,Ferrous Sulphate,8
126,38,23,6.176716425,88.43618918,25.36243778,83.63276077,Cotton,Urea,2
100,80,65,6.5,1000.0,35.0,48.855582340302185,Cotton,Magnesium Sulphate,5
50,20,25,6.5,600.0,35.0,48.06620631536817,Jowar,Urea,2
140,60,55,6.5,900.0,30.0,74.51542370837127,Cotton,DAP,0
2,56,23,7.550090941,36.91852635,26.65333029,59.79023382,MothBeans,Chilated Micronutrient,11
90,50,120,6.5,800.0,30.0,56.52188460751436,Grapes,Ferrous Sulphate,8
80,40,50,7.0,600.0,20.0,79.58757560076994,Wheat,19:19:19 NPK,6
50,40,30,7.5,500.0,30.0,47.006684905658915,Jowar,10:26:26 NPK,4
14,121,203,6.158689406,74.46411148,9.724457611,83.74765639,Grapes,DAP,0
115,75,80,8.5,500.0,25.0,48.733538614926246,Cotton,DAP,0
120,65,60,6.0,900.0,20.0,76.31749116766179,Wheat,Urea,2
60,30,20,6.5,600.0,20.0,62.756421247344676,Jowar,10:26:26 NPK,4
20,62,18,7.366542647,61.91208707,29.36358721,64.98742947,Blackgram,Chilated Micronutrient,11
13,126,204,6.383180271,108.183792,23.1094265,92.79630809,Apple,Ferrous Sulphate,8
80,55,40,6.5,600.0,20.0,78.96386626510369,Wheat,19:19:19 NPK,6
94,39,18,5.893093135,102.8301942,23.89114571,57.48775781,Maize,Urea,2
100,55,55,7.0,700.0,25.0,55.595433888436574,Wheat,Urea,2
45,25,40,6.0,500.0,30.0,64.76991209716849,Jowar,10:26:26 NPK,4
140,70,140,7.5,1200.0,20.0,73.48373166487382,Sugarcane,MOP,3
126,37,21,6.61448588,77.03421249,25.84997269,84.16855231,Cotton,Urea,2
95,55,125,7.0,700.0,20.0,48.55270371953618,Grapes,Ferrous Sulphate,8
23,58,19,5.243634849,59.18953429,24.17093241,58.25204566,MothBeans,Chilated Micronutrient,11
60,40,30,7.0,700.0,35.0,38.03411530912457,Moong,MOP,3
40,45,20,7.5,800.0,20.0,65.88359029965757,Gram,DAP,0
10,59,15,6.32400451,58.86687093,29.83040388,89.30428305,MungBean,SSP,1
40,20,25,6.0,600.0,25.0,75.8856878831634,Tur,MOP,3
150,70,45,6.5,500.0,25.0,76.62520243871882,Maize,SSP,1
130,85,150,6.0,900.0,20.0,74.8102127114187,Sugarcane,DAP,0
5,15,18,6.715267006425881,819.1890095280302,28.0,54.0,Barley,10-26-26,21
150,80,75,8.5,1000.0,20.0,55.83274800873409,Sugarcane,MOP,3
125,65,60,6.0,600.0,25.0,67.14845423672696,Maize,Urea,2
120,60,60,6.0,700.0,25.0,53.1428989041004,Wheat,19:19:19 NPK,6
14,69,19,7.239455147,52.39881209,20.95628486,63.68128841,Lentil,Urea,2
105,20,55,7.0,900.0,25.0,60.848116922166334,Cotton,DAP,0
75,55,45,7.0,800.0,25.0,52.99124801444019,Jowar,10:26:26 NPK,4
140,70,85,6.5,700.0,25.0,64.0884420604765,Sugarcane,Urea,2
23,6,33,6.025789594,204.9603677,29.18032562,92.73041222,Coconut,Urea,2
113,15,29,6.779230041,190.2440566,27.09617155,63.55324262,Coffee,SSP,1
35,35,35,7.5,800.0,25.0,77.31372332047023,Jowar,10:26:26 NPK,4
60,30,20,6.5,400.0,25.0,51.05681489928533,Urad,Urea,2
135,80,150,7.0,1400.0,30.0,71.96110763935948,Sugarcane,MOP,3
130,75,125,7.5,1200.0,20.0,65.76635846045026,Sugarcane,Urea,2
105,70,55,7.5,600.0,20.0,57.81183196975403,Wheat,Urea,2
70,50,50,7.0,500.0,25.0,65.64106341376609,Wheat,19:19:19 NPK,6
60,37,39,6.033485257,161.2469997,26.59104992,82.94164078,Jute,SSP,1
150,75,70,8.0,1200.0,35.0,59.41032194776669,Sugarcane,MOP,3
25,55,40,6.5,800.0,25.0,47.33194527341126,Groundnut,SSP,1
70,40,25,7.0,700.0,35.0,27.142248941025777,Moong,SSP,1
125,70,60,6.5,500.0,20.0,55.73768537687392,Maize,Urea,2
120,80,80,8.0,500.0,30.0,74.86521592865014,Cotton,Magnesium Sulphate,5
150,70,145,6.5,1000.0,20.0,73.26537851775589,Sugarcane,DAP,0
15,54,15,8.35495812,44.86052932,29.97604322,57.03184356,MothBeans,Chilated Micronutrient,11
60,35,25,6.5,400.0,25.0,68.40798903376371,Soybean,Urea,2
115,60,60,6.0,700.0,25.0,70.53553031540021,Wheat,19:19:19 NPK,6
110,50,75,7.5,1000.0,35.0,26.11460729792112,Cotton,13:32:26 NPK,18
104,18,30,6.779832611,140.9370415,23.60301571,60.39647474,Coffee,SSP,1
120,50,45,7.0,1400.0,30.0,54.625935077161195,Rice,Urea,2
53,65,76,8.719960893,77.33795356,20.19137759,16.41998269,ChickPea,DAP,0
3,56,17,8.709291688,52.13580529,28.19912143,53.50567601,MothBeans,Chilated Micronutrient,11
45,25,10,6.0,500.0,20.0,71.4916513896721,Gram,DAP,0
125,65,95,7.0,800.0,30.0,44.262361983107205,Sugarcane,MOP,3
145,40,50,6.0,800.0,25.0,66.22948218593439,Cotton,DAP,0
140,60,45,6.5,700.0,30.0,69.60017805405292,Maize,SSP,1
13,16,8,6.949838549,100.1967854,34.74004942,93.12316972,Orange,MOP,3
140,70,120,7.0,1100.0,35.0,51.69546654095484,Sugarcane,Urea,2
120,65,85,7.0,800.0,25.0,54.17486578773864,Sugarcane,DAP,0
105,60,60,7.5,500.0,10.0,59.92390131229088,Cotton,Magnesium Sulphate,5
135,75,50,7.0,600.0,30.0,66.26011908879337,Maize,SSP,1
30,45,20,6.5,900.0,30.0,59.144085530970166,Groundnut,Chilated Micronutrient,11
115,80,40,6.0,800.0,25.0,68.22744213598502,Cotton,DAP,0
102,28,54,6.862157042,55.49541453,25.15623099,80.27525115,Watermelon,DAP,0
25,65,21,6.880245789,69.24464096,33.86351172,68.59232289,Blackgram,SSP,1
150,80,60,7.5,500.0,25.0,42.800166400079235,Maize,MOP,3
150,65,150,6.0,900.0,20.0,50.428818327673916,Sugarcane,MOP,3
75,40,30,7.5,600.0,25.0,46.699609351426474,Urad,Urea,2
110,75,65,7.5,1000.0,35.0,32.389947591358336,Cotton,DAP,0
25,25,40,6.0,1600.0,25.0,54.2052711128374,Turmeric,White Potash,19
60,50,70,6.5,900.0,30.0,78.76823109399187,Ginger,Urea,2
120,65,65,7.0,1100.0,25.0,45.58670782234888,Sugarcane,Urea,2
100,40,120,6.0,700.0,20.0,73.22747866696162,Grapes,Ferrous Sulphate,8
40,25,20,6.5,400.0,25.0,67.99021013418907,Jowar,Urea,2
120,60,70,6.0,900.0,30.0,58.23313281795667,Cotton,DAP,0
110,60,50,7.0,800.0,25.0,53.82318671217786,Cotton,Magnesium Sulphate,5
50,30,20,6.0,300.0,20.0,48.270799952130865,Soybean,Urea,2
95,60,40,6.5,1300.0,25.0,46.271506270224236,Rice,50:26:26 NPK,16
130,70,60,6.0,500.0,20.0,63.95248163089383,Maize,MOP,3
9,141,202,6.119495295,66.38448261,21.01245395,81.17931863,Grapes,Urea,2
59,55,79,8.766128654,82.2545577,20.36720401,16.89574311,ChickPea,DAP,0
41,0,0,6.715267006425881,819.1890095280302,33.0,64.0,Wheat,Urea,2
150,60,135,7.0,1400.0,30.0,80.16854448621717,Sugarcane,DAP,0
60,35,20,7.0,500.0,30.0,80.47416914539767,Urad,DAP,0
105,75,50,6.0,1000.0,35.0,40.95665719476311,Cotton,12:32:16 NPK,7
59,69,80,8.165359297,69.40619137,19.07937684,17.86754927,ChickPea,DAP,0
11,124,204,6.361141107,71.40043037,13.42988625,80.06633966,Grapes,DAP,0
32,129,201,6.48754639,71.55665483,16.36251869,83.00471609,Grapes,DAP,0
39,60,21,6.97297656,64.72797143,34.89814946,63.59948557,Blackgram,SSP,1
105,40,40,6.0,1000.0,25.0,75.29992917009986,Rice,Urea,2
83,21,28,7.466900683,190.2257843,25.5674832,60.49244602,Coffee,10:26:26 NPK,4
40,35,25,6.5,800.0,30.0,77.23953152575868,Urad,Urea,2
50,20,20,6.0,600.0,20.0,77.31415859115174,Masoor,Urea,2
85,40,60,6.0,1200.0,35.0,34.52032506030741,Rice,Urea,2
115,50,50,7.0,700.0,25.0,65.85397515709141,Wheat,Urea,2
20,55,25,6.5,600.0,25.0,64.72823004939555,Groundnut,SSP,1
120,60,40,6.0,500.0,20.0,48.74255623482633,Maize,Urea,2
110,65,55,6.5,800.0,25.0,70.52062794232317,Cotton,DAP,0
130,90,140,7.0,1000.0,25.0,49.097299961143406,Sugarcane,MOP,3
115,55,75,6.5,1000.0,35.0,40.02887177648177,Cotton,DAP,0
120,90,120,6.5,1000.0,25.0,65.92539672186051,Sugarcane,DAP,0
120,80,50,7.0,1000.0,35.0,28.066752204077027,Cotton,DAP,0
85,40,125,6.5,800.0,30.0,58.683199983391674,Grapes,10:10:10 NPK,9
70,50,40,6.5,700.0,25.0,79.99759875000825,Wheat,Urea,2
16,65,16,6.078724107,50.6128521,18.13027797,62.45851612,Lentil,Urea,2
145,65,60,7.0,1000.0,25.0,48.646047745134986,Sugarcane,MOP,3
100,70,60,6.0,500.0,15.0,59.40472981653757,Wheat,19:19:19 NPK,6
120,70,50,7.0,1000.0,35.0,52.92189407766435,Cotton,12:32:16 NPK,7
69,47,40,6.130136384,183.8270791,25.37122686,76.2403666,Jute,Urea,2
77,51,44,7.124333547,166.2160846,23.25583402,82.7015932,Jute,19:19:19 NPK,6
23,23,30,4.755273631,90.89173106,32.82141065,47.45553843,Mango,SSP,1
125,65,80,7.0,800.0,20.0,76.79195106248744,Sugarcane,Urea,2
34,9,36,6.276038961,110.4432293,22.8122645,86.34233767,Pomegranate,Urea,2
20,35,35,7.5,800.0,25.0,55.15843351919287,Jowar,10:26:26 NPK,4
84,21,55,6.494251024,21.08484101,28.47090661,94.79453182,Muskmelon,Urea,2
60,35,20,7.0,700.0,25.0,44.18937992020763,Jowar,SSP,1
45,40,35,6.0,400.0,25.0,51.95075949943261,Jowar,Urea,2
120,80,80,8.5,1100.0,20.0,75.6464598967616,Sugarcane,Urea,2
113,41,20,7.256877571,96.32600992,25.0017188,80.53965818,Cotton,Urea,2
25,40,20,6.0,600.0,25.0,48.874153750935136,Groundnut,Chilated Micronutrient,11
20,40,20,6.0,600.0,25.0,77.25341052951264,Groundnut,Chilated Micronutrient,11
80,55,50,7.5,900.0,30.0,68.7703735482564,Jowar,Urea,2
105,25,50,6.5,800.0,30.0,43.66843256194992,Cotton,Magnesium Sulphate,5
15,27,28,4.507523551,90.82549241,33.80398664,46.12866113,Mango,SSP,1
90,55,50,7.5,600.0,20.0,79.96513361918699,Wheat,Urea,2
11,36,31,6.47544932,100.2585673,27.92063282,51.77965917,Mango,SSP,1
125,75,140,6.5,1000.0,30.0,80.92069827972686,Sugarcane,MOP,3
3,27,44,6.591302797,110.9633894,24.56811204,92.03009222,Pomegranate,10:26:26 NPK,4
75,54,36,7.023936392,257.4914906,26.29465461,84.56919326,Rice,Urea,2
98,7,45,6.157724816,26.85422624,27.79161808,92.51054946,Muskmelon,12:32:16 NPK,7
125,70,45,6.5,500.0,25.0,66.92471871020369,Maize,SSP,1
90,60,45,7.0,900.0,20.0,71.8115473164269,Wheat,Urea,2
2,38,33,4.691396195,90.21633216,32.38697531,53.2328243,Mango,SSP,1
40,40,25,7.0,300.0,30.0,46.70749625320401,Soybean,SSP,1
120,60,40,6.5,900.0,15.0,54.01133650713062,Wheat,Urea,2
70,60,60,6.0,600.0,20.0,63.92289294163952,Wheat,19:19:19 NPK,6
130,70,140,6.5,900.0,20.0,45.29336590491127,Sugarcane,MOP,3
60,54,19,6.417820493,70.23401597,18.74826712,62.49878458,Maize,Urea,2
24,20,0,6.715267006425881,819.1890095280302,34.0,65.0,Cotton,28-28,23
130,90,135,6.5,900.0,30.0,76.67958296921557,Sugarcane,DAP,0
120,70,60,6.5,500.0,20.0,77.7581432697441,Maize,Urea,2
135,60,50,5.5,500.0,25.0,44.62564052486855,Maize,Urea,2
130,85,140,7.0,1000.0,35.0,42.91357642008331,Sugarcane,Urea,2
22,42,22,7.887658711,48.46797044,25.54249137,56.96640758,MothBeans,Chilated Micronutrient,11
120,40,75,6.5,1000.0,35.0,23.519489352533398,Cotton,DAP,0
31,25,38,6.497366677,109.4169192,24.96273236,92.40501423,Pomegranate,10:26:26 NPK,4
50,25,30,6.0,300.0,25.0,51.31422163856016,Tur,MOP,3
107,51,22,5.983075895,79.56866268,24.86560781,78.22080815,Cotton,Urea,2
125,70,140,7.5,1200.0,20.0,76.4456582514301,Sugarcane,MOP,3
30,40,25,7.5,700.0,20.0,55.06895343002031,Gram,MOP,3
115,60,50,6.0,1000.0,35.0,36.80389470644086,Cotton,DAP,0
130,50,55,6.5,900.0,30.0,68.44168409023963,Cotton,Magnesium Sulphate,5
13,28,33,5.686972967,151.0761899,28.130115,95.64807631,Coconut,Chilated Micronutrient,11
45,30,10,6.5,700.0,25.0,79.65311136056269,Gram,Sulphur,22
135,75,45,7.0,500.0,20.0,65.76579535867683,Maize,MOP,3
110,50,50,7.0,1200.0,35.0,23.360670386586598,Rice,Urea,2
20,30,25,5.5,700.0,25.0,51.70380871056512,Groundnut,SSP,1
145,80,145,7.0,1000.0,35.0,42.99742889347934,Sugarcane,DAP,0
100,45,55,7.5,1000.0,25.0,58.636113385779595,Wheat,Urea,2
145,70,100,6.5,700.0,20.0,50.11092269768642,Sugarcane,MOP,3
95,55,40,6.5,800.0,15.0,54.42240837209818,Wheat,Urea,2
95,55,140,6.0,700.0,30.0,81.32067120694704,Grapes,10:10:10 NPK,9
150,55,55,7.5,900.0,30.0,52.61687849656863,Cotton,13:32:26 NPK,18
150,80,135,6.5,900.0,30.0,48.31092716037618,Sugarcane,Urea,2
100,55,60,6.0,700.0,25.0,45.5651036827022,Wheat,19:19:19 NPK,6
125,70,80,7.0,800.0,30.0,59.35718762798919,Sugarcane,DAP,0
76,60,39,6.766240045,208.5810155,20.0454142,80.3477562,Rice,Urea,2
28,48,15,9.254089438,40.89732789,25.16125354,55.25435777,MothBeans,Chilated Micronutrient,11
30,50,25,6.0,900.0,15.0,52.75884275317465,Gram,DAP,0
130,80,95,6.5,700.0,20.0,76.47956579035733,Sugarcane,Urea,2
120,50,60,5.5,700.0,35.0,30.2294570533903,Rice,Urea,2
92,85,51,5.740764682,108.8616474,29.22118628,81.08183635,Banana,19:19:19 NPK,6
75,45,40,6.5,900.0,30.0,63.449785516489165,Jowar,Urea,2
40,30,20,6.5,600.0,35.0,61.049433176855025,Jowar,10:26:26 NPK,4
54,65,47,6.721835879,149.9107557,27.92765919,91.55594211,Papaya,Urea,2
150,65,75,7.0,1200.0,35.0,34.3965710742233,Sugarcane,MOP,3
34,59,18,5.744117663,87.66898664,23.38002569,21.98879437,KidneyBeans,MOP,3
1,135,203,5.624203283,113.7759219,22.77856513,92.70124029,Apple,Ferrous Sulphate,8
35,25,30,6.5,1000.0,30.0,70.36561214449424,Rice,50:26:26 NPK,16
24,22,0,6.715267006425881,819.1890095280302,32.0,62.0,Paddy,28-28,23
25,50,30,7.0,800.0,25.0,70.26320727573217,Groundnut,Chilated Micronutrient,11
25,40,30,6.5,900.0,35.0,54.28611624479629,Groundnut,Chilated Micronutrient,11
130,75,60,7.0,500.0,30.0,81.5777804559524,Maize,SSP,1
11,71,17,5.74644777,82.68554379,19.9191786,21.47324158,KidneyBeans,Urea,2
23,142,197,6.000573725,69.30772897,39.06555518,82.03812973,Grapes,Magnesium Sulphate,5
75,30,30,6.5,400.0,25.0,73.81095695263733,Urad,DAP,0
40,50,30,7.0,900.0,15.0,49.76131876710255,Gram,DAP,0
130,70,100,6.5,700.0,20.0,76.67344344252234,Sugarcane,MOP,3
135,80,120,6.5,1000.0,25.0,57.95648461410345,Sugarcane,Urea,2
140,70,95,7.0,800.0,25.0,79.10304585040032,Sugarcane,Urea,2
110,80,80,8.0,500.0,30.0,47.18582602688862,Cotton,Magnesium Sulphate,5
120,60,60,6.0,1400.0,30.0,62.691726496743215,Rice,Urea,2
145,70,40,6.5,700.0,30.0,68.89326490294616,Maize,Urea,2
100,60,60,6.5,900.0,35.0,35.33872531826992,Rice,Urea,2
80,30,20,6.5,400.0,25.0,73.72892903265546,Urad,Urea,2
135,70,60,6.0,500.0,20.0,73.73760437093726,Maize,MOP,3
120,80,130,6.0,1000.0,35.0,38.2932261036445,Sugarcane,MOP,3
28,76,82,6.654425315,83.75937135,20.56601874,14.25803981,ChickPea,12:32:16 NPK,7
70,60,50,7.5,600.0,30.0,61.20946976518634,Wheat,Urea,2
47,80,77,7.561108006,72.85017344,17.18248372,16.42891834,ChickPea,DAP,0
125,60,130,6.5,1000.0,30.0,63.25668678774393,Sugarcane,MOP,3
105,50,45,6.5,700.0,20.0,69.34926491028519,Wheat,Urea,2
75,50,60,6.0,800.0,25.0,44.41506124435191,Jowar,SSP,1
102,14,52,6.51075991,57.74091817,26.79489868,89.64815231,Watermelon,Magnesium Sulphate,5
110,45,60,6.0,1400.0,30.0,77.3015672677563,Rice,50:26:26 NPK,16
57,68,81,8.081095263,72.78624223,17.17012591,17.30457712,ChickPea,Magnesium Sulphate,5
38,135,203,5.965551311,100.825956,23.76121837,93.661643,Apple,Ferrous Sulphate,8
27,8,32,5.627860549,144.3331315,27.00648436,96.46168931,Coconut,Urea,2
39,64,53,6.598860305,208.3357976,23.0124018,91.07355541,Papaya,Urea,2
120,85,145,7.0,1000.0,25.0,58.20341959537379,Sugarcane,Urea,2
30,45,20,6.5,800.0,30.0,43.55584614688585,Gram,DAP,0
105,50,55,7.5,600.0,20.0,80.82087994778959,Wheat,19:19:19 NPK,6
105,75,55,7.5,800.0,25.0,68.62058966841289,Cotton,12:32:16 NPK,7
50,25,20,7.0,500.0,30.0,61.21992352750853,Moong,SSP,1
105,70,60,8.5,600.0,20.0,79.34825487088,Cotton,Magnesium Sulphate,5
24,30,11,6.601395755,113.25373,32.39523995,94.51768464,Orange,MOP,3
30,45,30,6.5,700.0,30.0,65.99552289276323,Gram,MOP,3
50,30,25,6.5,700.0,25.0,63.19046548143815,Tur,SSP,1
130,60,145,7.5,1500.0,25.0,44.30902859934501,Sugarcane,Urea,2
120,65,40,7.0,800.0,25.0,46.34414144027871,Cotton,12:32:16 NPK,7
99,40,32,7.045543056,163.2708732,24.18471151,69.94807345,Coffee,Urea,2
100,75,80,8.5,500.0,25.0,46.523357266770724,Cotton,DAP,0
120,70,90,6.5,700.0,30.0,62.26582106134866,Sugarcane,DAP,0
135,85,120,6.5,1000.0,35.0,33.5524589187074,Sugarcane,MOP,3
120,60,55,7.5,800.0,25.0,58.54509107096375,Cotton,DAP,0
75,55,40,6.5,900.0,30.0,60.87982474695539,Jowar,SSP,1
105,40,55,7.5,1300.0,25.0,80.21663839584573,Rice,50:26:26 NPK,16
8,37,33,6.128167757,97.45373619,28.07802689,54.9640534,Mango,SSP,1
5,21,38,6.107054808,112.459697,22.43377991,90.3396556,Pomegranate,Urea,2
76,57,18,6.092725883,94.26249353,18.9802729,74.52600826,Maize,Urea,2
50,20,20,5.5,500.0,25.0,66.8704908883284,Groundnut,Chilated Micronutrient,11
20,40,25,6.0,900.0,30.0,48.198190416462126,Groundnut,SSP,1
60,30,30,6.0,500.0,25.0,60.59260798854105,Moong,SSP,1
17,58,20,6.42937879,39.23831035,28.06642822,85.91625451,MungBean,Chilated Micronutrient,11
75,45,55,7.5,700.0,25.0,48.83542362481707,Wheat,19:19:19 NPK,6
100,50,45,7.0,800.0,25.0,65.2324512277481,Wheat,19:19:19 NPK,6
115,50,45,7.0,900.0,20.0,76.806671174958,Wheat,Urea,2
11,61,21,5.532100554,135.3378033,18.62328774,23.02410338,KidneyBeans,Urea,2
115,70,45,7.0,900.0,20.0,48.25050145532168,Wheat,19:19:19 NPK,6
12,58,23,6.765091462,50.43306085,21.74600081,63.39503184,Lentil,Chilated Micronutrient,11
150,75,140,6.5,900.0,30.0,57.66655979258281,Sugarcane,DAP,0
45,30,20,6.5,400.0,30.0,69.14370413745354,Tur,MOP,3
55,55,40,6.5,1000.0,25.0,79.4337456058728,Turmeric,White Potash,19
135,50,55,6.5,900.0,30.0,78.17334513285017,Cotton,Magnesium Sulphate,5
85,27,45,6.467095849,57.79652846,26.0713757,88.7285657,Watermelon,Urea,2
69,64,47,6.993473247,186.6762324,40.21199348,94.50766912,Papaya,19:19:19 NPK,6
60,55,40,6.5,600.0,20.0,59.79985620107888,Wheat,19:19:19 NPK,6
45,30,20,6.5,600.0,35.0,46.8233238687956,Jowar,10:26:26 NPK,4
80,40,60,6.0,900.0,20.0,44.76053272462292,Wheat,Urea,2
86,55,21,6.803931519,109.7515385,21.54156232,59.64024162,Maize,Urea,2
100,45,40,6.5,1000.0,25.0,65.12332077046882,Wheat,19:19:19 NPK,6
20,40,30,6.0,700.0,25.0,70.15839640960193,Gram,DAP,0
37,24,13,7.8546243,108.0230792,19.14381903,90.71037456,Orange,Urea,2
17,59,17,5.689858133,132.9801054,18.4167001,23.42829938,KidneyBeans,Urea,2
150,55,50,6.0,800.0,25.0,77.83261592757619,Cotton,DAP,0
120,70,150,6.0,900.0,30.0,63.67341951029466,Sugarcane,DAP,0
40,30,15,6.5,600.0,25.0,65.95546617686634,Gram,DAP,0
150,80,120,7.5,1200.0,30.0,53.43059917624076,Sugarcane,DAP,0
60,40,30,7.0,300.0,30.0,62.36922559158063,Soybean,Urea,2
80,35,25,6.5,600.0,30.0,79.78292462949084,Moong,MOP,3
115,80,50,7.5,600.0,20.0,54.96712833189501,Wheat,Urea,2
145,70,80,7.5,1000.0,20.0,57.66572451994756,Sugarcane,MOP,3
110,50,60,6.0,500.0,15.0,45.41193563320298,Wheat,Urea,2
55,30,20,6.0,300.0,20.0,74.57148311873017,Soybean,Urea,2
65,50,50,7.0,800.0,25.0,49.01812909036846,Jowar,10:26:26 NPK,4
60,40,55,7.5,1000.0,25.0,60.94432332424574,Wheat,Urea,2
62,48,20,6.708446922,95.71388473,21.70181447,60.47470519,Maize,Urea,2
21,44,18,7.12851089,50.46746116,27.06909959,86.89934108,MungBean,Chilated Micronutrient,11
61,64,52,6.641098708,110.562229,43.30204933,92.83405443,Papaya,Urea,2
80,40,55,7.5,900.0,30.0,67.61743036562504,Jowar,10:26:26 NPK,4
55,50,65,6.0,900.0,30.0,79.72067940453864,Ginger,Ammonium Sulphate,14
100,65,65,8.0,600.0,15.0,58.143686478106254,Cotton,Magnesium Sulphate,5
6,9,12,7.028746406,109.6894658,31.08368929,90.14362642,Orange,MOP,3
75,50,40,6.5,600.0,20.0,81.99470078311673,Wheat,19:19:19 NPK,6
9,76,25,5.70951224,179.2155874,28.88302142,50.12323801,PigeonPeas,SSP,1
135,90,145,6.0,900.0,20.0,63.58748249070566,Sugarcane,Urea,2
110,40,60,7.0,1000.0,35.0,30.707151351640462,Cotton,DAP,0
120,75,140,6.5,1000.0,30.0,70.05273964932753,Sugarcane,MOP,3
105,75,55,7.5,800.0,15.0,66.07275927997634,Wheat,19:19:19 NPK,6
60,35,20,6.5,600.0,30.0,48.2629548199699,Moong,SSP,1
60,40,40,6.0,500.0,15.0,58.948431084953555,Wheat,19:19:19 NPK,6
60,60,40,6.5,600.0,20.0,53.77081289022206,Wheat,Urea,2
40,0,0,6.715267006425881,819.1890095280302,28.0,54.0,Pulses,Urea,2
35,58,20,5.761702519,90.05422663,29.38538562,63.47742011,PigeonPeas,Urea,2
120,60,60,6.0,1000.0,35.0,23.37552536001256,Cotton,13:32:26 NPK,18
150,60,100,6.5,700.0,30.0,47.06741790905071,Sugarcane,Urea,2
75,60,55,6.0,500.0,15.0,53.08648984482835,Wheat,19:19:19 NPK,6
80,45,45,6.5,600.0,20.0,71.27476547653514,Wheat,19:19:19 NPK,6
135,50,65,6.5,800.0,25.0,51.929134508020795,Cotton,Magnesium Sulphate,5
117,81,53,5.507641778,98.12565829,29.50704598,78.20585613,Banana,19:19:19 NPK,6
80,60,50,7.5,600.0,20.0,67.08940295759987,Wheat,Urea,2
40,70,20,5.623490043,147.0361442,31.80130272,45.03186173,PigeonPeas,SSP,1
25,20,15,7.0,800.0,35.0,46.63845597780421,Moong,MOP,3
65,55,40,6.5,900.0,30.0,43.99436920076584,Jowar,SSP,1
125,60,60,6.0,1000.0,35.0,29.218514184693007,Cotton,13:32:26 NPK,18
72,60,25,5.773454729,88.10234397,18.52510753,69.0276233,Maize,Urea,2
20,60,25,6.726469088,61.19250859,27.3254209,69.09047809,Blackgram,Chilated Micronutrient,11
140,75,150,7.0,1100.0,25.0,65.1656238887599,Sugarcane,DAP,0
85,50,125,7.0,700.0,25.0,62.72834782647459,Grapes,10:10:10 NPK,9
6,8,11,6.600948788,119.6946577,24.35590861,92.39651663,Orange,MOP,3
125,80,80,8.5,1100.0,20.0,80.41847184197626,Sugarcane,Urea,2
130,60,65,7.5,800.0,25.0,66.28492926226396,Cotton,Magnesium Sulphate,5
5,29,44,5.578095745,104.7847006,21.02432943,93.0569505,Pomegranate,Urea,2
100,80,80,8.0,500.0,30.0,80.78295855652445,Cotton,Magnesium Sulphate,5
120,70,80,7.5,500.0,20.0,43.00592986465065,Cotton,12:32:16 NPK,7
